question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,cluster_consult,1,17591,11779,194,0.038247,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,272,responses/cluster_consult_A1_run1.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,1,15890,0,890,0.01335,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,1713,responses/cluster_consult_A2_run1.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,1,27976,11781,605,0.044418,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,937,responses/cluster_consult_A3_run1.txt,,,,,,,3,"captures caller-facing stale handling, strict revalidation, and fallback"
A5,A_factual,cluster_consult,1,2465,11785,60,0.036255,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,110,responses/cluster_consult_A5_run1.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,1,15591,0,759,0.011385,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,1213,responses/cluster_consult_B2_run1.txt,,,,,,,3,walks orphan recovery path
A1,A_factual,cluster_consult,2,4969,0,209,0.003135,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,205,responses/cluster_consult_A1_run2.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,2,31675,11781,1088,0.051663,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,825,responses/cluster_consult_A2_run2.txt,,,,,,,3,all known cluster event types present
A3,A_factual,cluster_consult,2,14509,11782,258,0.039216,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,649,responses/cluster_consult_A3_run2.txt,,,,,,,2,captures only part of caller-facing stale behavior; matched 5/6
A5,A_factual,cluster_consult,2,3607,0,59,0.000885,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,88,responses/cluster_consult_A5_run2.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,2,12069,0,608,0.00912,agentsessionrouter-codebase-reprepared-2026-05-15-targeted-v2,bare,false,false,1,true,1705,responses/cluster_consult_B2_run2.txt,,,,,,,3,walks orphan recovery path; includes NOT IN CONTEXT caveat
